eval_id;objectives;objectives_maxspace;cv;is_feasible;variables;evaluation_time;algorithm_time;workdir
1;[4.034800080000012, -2.4999999999905933];[-4.034800080000012, 2.4999999999905933];0.0;True;[4.1900182801777035, 3.3150720675857244, 0.5476088971023598, 3.063205641203803, 4.711856185557808, 1.1932622386194076, 2.8649890424747424, 0.8131112686571793, 3.1874951514845105, -4.290312186899254];157.3298719000013;1565.8943328999994;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_656376
2;[3.796808040000002, -2.499999999998682];[-3.796808040000002, 2.499999999998682];0.0;True;[-1.7007509042356639, 3.592193879595742, 0.8939930988636524, 2.3008412178916346, 0.357257785500666, 2.3124596106039883, 4.200920675832393, 1.8746819492469013, -2.7645899343651106, -2.4888670832721504];152.52146859999993;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_542070
3;[3.4002283680000107, -2.49999999999846];[-3.4002283680000107, 2.49999999999846];0.0;True;[1.6201114425007992, -1.0487292063893463, 3.9454376522628447, -1.6360414387375775, -0.407799579145677, -4.40619241260327, 2.712617707299688, -3.6563335688782397, -2.9386855925600575, -3.966417531065267];158.29660479999802;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_251198
4;[3.6436504320000034, -1.7024165999999998];[-3.6436504320000034, 1.7024165999999998];0.0;True;[2.7358195050666145, -1.9521244694515483, -4.9109449101545675, 3.432080315342281, -1.505567950116208, 3.086558967579183, -0.11558034598351519, 2.9061723379828095, -1.2954676986123448, -0.8933943638242159];150.26745459999802;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_870588
5;[3.649751568000001, -2.4999999999989124];[-3.649751568000001, 2.4999999999989124];0.0;True;[-1.7626073009384013, -0.16644729037841266, 0.8105912243001079, 4.689577375707753, -1.4955715318706595, 1.662223000507983, 3.306569667345805, -0.3067080666090405, -0.7447543574035533, -4.222876503601666];154.99575639999966;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_645982
6;[3.6789854400000044, -2.4999999999930225];[-3.6789854400000044, 2.4999999999930225];0.0;True;[4.064254718101129, -1.7134617312031342, 4.387293697830616, 3.5421806330069856, 2.4514227897374212, -2.98168906747979, -0.2234747781537294, -3.586381989179428, 0.7550983744769777, -3.5718450286445136];158.59549719999995;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_265847
7;[3.611403360000001, -2.499999999997787];[-3.611403360000001, 2.499999999997787];0.0;True;[-4.167202626138009, 0.008021257559491346, -0.9449955566569814, 3.3823132090501797, 4.007794902757652, -0.40911356280727507, -3.4804267343234563, 3.0589816582532876, 0.24955582173272006, -1.7103373977343383];155.65048119999847;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_660237
8;[3.959295552000003, -1.5281554000000002];[-3.959295552000003, 1.5281554000000002];0.0;True;[4.870544782845579, 3.548782812709735, 3.3078817767868998, 1.041505837366719, -0.3290657309247811, 0.6508231487915319, 2.7449741705562714, 4.903865028903747, -2.8685184290569907, -1.77007982944704];153.11158609999984;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_266745
9;[3.76985059200001, -2.3220772];[-3.76985059200001, 2.3220772];0.0;True;[-3.463159375541136, -4.8809032491556, 3.764467220203361, 4.369984368563793, 3.3206804496155016, -3.120806990190277, 1.3392479969750504, 4.620038995969374, 3.501505284704505, -2.1209244435429575];150.27964410000277;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_405848
10;[4.019332320000013, -2.4999999999988542];[-4.019332320000013, 2.4999999999988542];0.0;True;[2.1638987613437433, 2.4266409486221807, 1.4614109764940464, 3.059264854247509, -1.1839495275770262, 2.6654570559840574, 0.8691925178696263, 3.593704464390857, 0.16448552023299978, 3.6600971491384406];159.17185529999915;;C:\Users\guoji\Desktop\python3_11_test\suite\runners\LayeredBeam\runs\LB\sim_158336
