objectives;is_feasible;variables;evaluation_time
[3.7542711600000027, -2.4999999999988693];True;[-0.47853537942182456, 2.022612226581387, -4.673132622360083, 1.3194742580049246, -3.7824636398060485, -1.247772103111493, 3.816685410416472, 2.660604527084236, 3.317068093583549, 3.6543082435296643];179.02024680003524
[3.9079629360000006, -1.7281209];True;[-2.982313744283187, 2.8117002962361672, 3.634100416833533, 0.29461932244944666, -1.178025898260059, 2.2175307422066464, 4.781177451586984, 4.971199688567662, 0.46680824538416044, -1.2925752482178687];182.26369040005375
[3.8461085280000056, -2.499999999999479];True;[-2.1916064897776333, 0.7763769547441832, 4.3131262913253465, 0.3260987079263451, 1.1375985761302658, 4.663763333928419, 1.912004078332398, -1.335284068679372, 1.6035100089309946, -0.3449811219785097];183.28578759997617
[3.438245664, -2.4999999999958327];True;[-2.5116492419581604, 0.28596786897591286, 0.7949824198341613, 2.009830146398407, -1.0728593783976361, -4.997903762431829, 2.1682548922495304, -2.582420036027794, 1.0808454504975584, -3.1970081780608917];185.86711799993645
[3.5949869280000044, -2.4999999999898885];True;[4.211141600102236, 1.460538201026762, -4.075526901390023, -0.02183579543698766, 0.6427305002980264, -3.581160405713205, 1.771094752375932, -2.8096367524775623, 1.2139956310538311, 0.4232307038199714];186.8846470999997
[3.5029024560000037, -2.4999999999974287];True;[-1.1120093353678016, -3.9852626018763058, -3.860041044186887, 4.110455570049208, 3.6012059323019443, -1.1097737854912437, -0.148401737673856, -2.7113095811292975, 1.7223441568950015, -1.5358355276442772];163.2505502999993
[3.3992563680000085, -2.4999999999994524];True;[-1.690791951590568, 2.763999170593358, -4.875097114355431, -2.6633961639056847, -1.3263561273565392, -1.139230236110679, 4.741204967008885, -2.904732836726093, -4.794638083396103, 2.0619848273416563];166.74623309995513
[3.5636695200000066, -2.49999999999871];True;[-3.897673742436637, 0.7771366107244484, -3.7049296210391125, 3.774918744915187, -1.5540699271997251, 1.1317932223600344, 4.061277983966233, -1.7751678935061799, -0.19871962773945295, -0.8298980092333865];162.649201799999
[3.375372384, -2.1323191];True;[2.5546863531706396, -1.5828541216578929, 1.024153820011322, -4.655263106857346, -4.824853032117008, -3.9253644195261463, 3.8602677068136657, -0.8510579591638265, -4.0585310640069014, 1.5260413794248082];168.35908850003034
[3.5972566560000114, -1.7504735999999999];True;[1.2886295804012136, 1.431337980481561, -3.0571734938003745, -1.2816846539664484, 0.5213418046068696, 0.9532391810285521, 4.765731745217094, -3.2164544864195745, -2.1490438197814896, 0.08373722246357662];170.62987710000016
[3.8320972560000053, -2.499999999999212];True;[2.023770911526686, 1.6727670485259658, -0.6304511327869697, -3.410911291262809, 4.910987198598452, 1.512992334054494, -0.5115753699563292, -1.013438434180859, 1.3454465549854175, 4.31233162279525];164.26467009994667
[3.689250840000005, -2.035753];True;[-2.5560728323383595, 1.673148013517281, 2.206182550972721, -1.1240358637254855, 3.0667664672973576, 3.3774617495304167, -4.038192578554074, 0.8548422618073452, 4.694397838771989, -4.555833562094424];170.87705050001387
[3.352500144000001, -2.499999999996658];True;[3.3797861028816563, 1.8982050798749412, -4.984372886230677, -1.9612464313717681, -3.048585267474225, -1.6249380454344986, -4.640707752738802, 2.708373055820662, -3.256814249949543, -0.4614083885370235];173.89100869989488
[3.8056750560000046, -2.499999999951798];True;[4.3515725850120806, 2.6824003920096784, 4.912177305258199, -3.1560852121035596, -1.43535437868315, 1.3222823942283801, 2.518717946385519, -0.1787252260133716, 1.9547710169996613, -3.983100043816413];167.12045249994844
[3.6271089360000035, -2.1235641];True;[3.051984844686368, 2.2744050681775807, -1.71719142661795, -1.436278795457222, 3.4937905148878663, 0.7749877873448607, -0.9914103602655047, 2.204287539652803, -2.149967811407821, -4.782887900482362];170.95435559994075
[3.4633224000000102, -2.3283243000000002];True;[3.898173518331916, -2.70771101818191, -2.49095044906839, -1.2622079699148947, -1.4042916114235506, 0.4243954415535809, -1.4712842373893187, -2.9248713120571255, 3.784463075642469, -2.7067253567223792];165.35631180007476
