objectives;is_valid;is_feasible;variables;constraints;evaluation_time
[14.479337881230467, 2506.3404132168084, 107.45387813629087];True;False;[1.0, 2.249176080612329, 1.5547855545594413, 0.0, 0.0, 46.528491198210055, 0.5, 0.5, 6179.833249055125, 10500.0, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.033601896711885716, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.09840782400718878, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0, 1.0, 0.0, 0.019173351414401126, 0.06822700097752, 162.0, 0.0, 0.0];[-0.1975045812131242, -0.4860557229178917, 58.442080169904514, 0.0, -0.4, 14.925986295514694, -14.0, -14.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -0.4081521209651467];5.6893115999992006
[21.377537517279226, 1643.4813530754036, 116.78607296432847];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 42.32484119627938, 0.40852941103726326, 0.5, 6863.614245697741, 9210.462963174594, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.027475406856626628, 0.36730973851217386, 0.0, 0.05498941935052048, 0.76876045349434, 0.0, 0.05, 0.5, 0.5, 0.01114965273815769, 0.510580856241291, 0.0, 0.04326120913748846, 0.2842430616163869, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 1.0];[1.0855926989419942, -1.3814902316263014, 57.146565029750604, 0.7665333639966825, -0.49147058896273677, -7.171968190991392, -9.593169492800047, -14.0, -0.6326902614878261, -0.23123954650566003, 0.0, -0.489419143758709, -0.7157569383836131, 0.0, 0.008284941677869306];15.98375939996913
[22.47648644784285, 1729.70927375375, 116.69824599441992];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 2.0, 27.456816323280236, 0.7407663511673817, 0.6791585185813729, 2928.4478161785883, 10461.984931107685, 9808.651551607558, 0.0, 3.0, 0.0, 0.025, 0.057747306635110886, 0.15095597383105797, 0.0295598144671676, 0.056166467306937695, 0.35392546674794634, 0.2626035575562512, 0.0008583105724357721, 0.3333333333333333, 0.3333333333333333, 0.05252817475725738, 0.3333333333333333, 0.3333333333333333, 0.023364685312844982, 0.3333333333333333, 0.3333333333333333, 0.036962641873107376, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 0.0];[1.7383343810388991, -1.3269452186976096, 21.16325910016866, 0.6722806539232487, -0.15923364883261837, -11.98317540892546, -11.983175408925462, -11.983175408925462, -0.8194842117017744, -0.38347097569580246, -0.33333333333333337, -0.33333333333333337, -0.33333333333333337, -0.33333333333333337, 0.000611178302982629];36.93403319997015
[14.590843167030977, 4278.590975147885, 107.04893721049066];True;False;[1.0, 5.049659388210988, 1.2341388976369592, 0.0, 1.0, 33.97156570143573, 0.8430236966244626, 0.5, 4479.7182042113445, 13422.28146048508, 10500.0, 1.0, 4.912066772077081, 0.0, 0.025, 0.013925458053632567, 0.2129532981917781, 0.0, 0.0013796999879557626, 0.872697155495315, 0.0, 0.05, 0.5, 0.5, 0.017685943167169583, 0.7852252308830954, 0.0, 0.054918624933629506, 0.2168123841959454, 0.0, 0.05, 0.5, 0.5, 0.0, 1.0, 1.0, 0.032132776611487744, 0.3395680421836395, 147.0, 0.0, 0.0];[0.654022844012947, 0.11635806327239795, 28.076526296575295, -1.1102230246251565e-16, -0.056976303375537385, -12.736018263967157, -2.84153906571032, -14.0, -0.7870467018082219, -0.127302844504685, 0.0, -0.21477476911690463, -0.7831876158040546, 0.0, -0.14255098896253737];45.59386300004553
[1e+30, 1e+30, 1e+30];False;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 2.198184827134246, 0.3326507337970557, 0.5, 4298.358405852671, 15058.027917726802, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.08919169271493926, 0.5468772636972921, 0.0, 0.04345484544896594, 0.7178896080402848, 0.0, 0.05, 0.5, 0.5, 0.09212246741461809, 0.8998189025267416, 0.0, 0.0823798343553672, 0.656944423814225, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 0.0];[1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30];66.36458699998911
[38.89543263704292, 1016.6685640339772, 121.90438725878613];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 10.351098936308816, 0.6340128243595234, 0.5, 6338.032578407529, 14088.684235544233, 10500.0, 0.0, 3.0, 1.0, 0.027769339525659728, 0.03600593308107791, 0.6825351467714856, 0.0, 0.005229315611983499, 0.9971694231141707, 0.0, 0.05, 0.5, 0.5, 0.026900859670593205, 0.12641282926130415, 0.0, 0.07768559340418492, 0.5020486604884952, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 1.0];[0.8796074134717031, -1.5187037290523426, 214.2394462885179, 0.6338596254500906, -0.2659871756404766, -12.555572604180194, -10.765429992312253, -14.0, -0.31746485322851437, -0.002830576885829328, 0.0, -0.8735871707386959, -0.49795133951150483, 0.0, 0.08052190152746919];49.050355400017
[1e+30, 1e+30, 1e+30];False;False;[0.0, 7.25, 1.4500000000000002, 0.0, 0.0, 9.7155719936572, 0.5, 0.5, 18260.85877722559, 10500.0, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.026209329428634576, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0016048983972698273, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 0.0];[1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30];36.61341119999997
[20.878022578230933, 1860.6414684905892, 115.90220125147405];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 51.878454820995465, 0.3359954490195134, 0.5, 12407.7523415574, 18022.711095337872, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.08130284254160484, 0.7525310902279083, 0.0, 0.048582690438152755, 0.3543128265804395, 0.0, 0.05, 0.5, 0.5, 0.017084094031945874, 0.9777733556030781, 0.0, 0.019567613891690573, 0.5829231798310577, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 1.0];[1.3049317758027659, -1.3289286660435065, 88.94229944873724, 0.6592061000932865, -0.5640045509804866, -4.874596321570419, -9.876406267977885, -14.0, -0.24746890977209168, -0.6456871734195605, 0.0, -0.022226644396921902, -0.4170768201689423, 0.0, -0.010920581176779742];36.58250560000306
[1e+30, 1e+30, 1e+30];False;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 11.265183769332355, 0.18707960651028177, 0.5, 11442.765839685439, 6687.690062652989, 10500.0, 0.0, 3.0, 1.0, 0.02019141403444984, 0.061503485781620376, 0.5329926550947194, 0.0, 0.07723440980538293, 0.36847712807828603, 0.0, 0.05, 0.5, 0.5, 0.04546049409814255, 0.25978155073599085, 0.0, 0.016658094160863012, 0.763671728478144, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 1.0];[1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30];66.81138989998726
[1e+30, 1e+30, 1e+30];False;False;[1.0, 8.920687320577718, 1.2958368915835368, 0.0, 0.0, 26.001805412821664, 0.5, 0.5, 7799.832921436472, 10500.0, 10500.0, 1.0, 3.941914392716857, 0.0, 0.025, 0.047403461491619184, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.03982676801770442, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 1.0, 1.0, 0.0, 0.04062858168926773, 0.21549002887436647, 34.0, 0.0, 0.0];[1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30, 1e+30];99.48294539999917
