eval_id;objectives;is_valid;is_feasible;variables;constraints;evaluation_time;algorithm_time
1;[25.254729314305695, 1210.507485210494, 118.17333768105456];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 0.0, 19.102808809179933, 0.5, 0.5, 10268.997658355232, 10500.0, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.08533394321366167, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.04208166566822107, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 0.0];[0.4166940569039914, -1.4534609227101392, 2.6294505416261984, 0.7202772505576915, -0.4, 4.102808809179933, -14.0, -14.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.024941172843465975];4.740149999968708;
2;[nan, nan, nan];False;False;[1.0, 11.443480732204032, 1.6513849202315454, 1.0, 0.0, 42.994333108212295, 0.5, 0.5, 7243.75602820295, 10500.0, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.05267995908099528, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.02452672386422147, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 1.0, 1.0, 0.0, 0.04548126225434872, 0.37585342891999285, 211.0, 0.0, 0.0];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];8.264430199982598;
3;[36.075353507555874, 1024.8126061871717, 119.17181328536512];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 0.0, 5.13411116974647, 0.5, 0.5, 4885.853652090023, 10500.0, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.012012462120930345, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0025303801740869216, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 0.0];[0.5264139004576869, -1.4251971202838434, -11.94384501464484, 0.38730440339887373, -0.4, -9.86588883025353, -14.0, -14.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, 0.01348241427325958];5.179597099893726;
4;[19.8239421471813, 3132.1589109266333, 110.87585093548876];True;False;[1.0, 3.7831050135924675, 1.3265411247088683, 0.0, 1.0, 8.14375936289085, 0.4289017903050355, 0.5, 10995.186127500716, 11440.629091191642, 10500.0, 0.0, 3.0, 1.0, 0.007651657941826973, 0.03487724220873674, 0.9369900323040165, 0.0, 0.07743617957637555, 0.16082331416975282, 0.0, 0.05, 0.5, 0.5, 0.0034957487652080956, 0.151640572085448, 0.0, 0.008393022263301764, 0.7672387320247948, 0.0, 0.05, 0.5, 0.5, 0.0, 1.0, 0.0, 0.04911142357777072, 0.2513798481000981, 85.0, 1.0, 1.0];[0.934325392307815, -0.11089289279012293, 181.0255926123427, 0.0, -0.4710982096949645, -12.140905060302956, -12.852784481773972, -14.0, -0.06300996769598355, -0.8391766858302472, 0.0, -0.848359427914552, -0.23276126797520524, 0.0, -0.2078858487980122];18.300485100015067;
5;[25.55325951930648, 1384.8548924754277, 117.00616644059129];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 11.195007539901747, 0.5140124364672052, 0.5, 3572.5723489306547, 1128.04233900634, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.06436363337246691, 0.3364233306418175, 0.0, 0.0798088294330552, 0.9232721183204097, 0.0, 0.05, 0.5, 0.5, 0.06845940544468387, 0.8804064600968653, 0.0, 0.09582774590569831, 0.8075605779975538, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 1.0];[1.2356394994851563, -1.3455335983618875, -6.259134820826965, 0.5360714873574459, -0.38598756353279484, -11.746596274258387, -11.558986070088844, -14.0, -0.6635766693581825, -0.07672788167959033, 0.0, -0.1195935399031347, -0.19243942200244624, 0.0, -0.005012011394212479];28.600016199983656;
6;[12.715634450165776, 2336.287030262598, 108.6626474429668];True;True;[1.0, 4.541725848904976, 1.797354568325249, 0.0, 0.0, 15.349635427981584, 0.5, 0.5, 2232.2915555652753, 10500.0, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.0974719637385216, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.04593724542935629, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0, 1.0, 0.0, 0.025847817157072017, 0.07708019691786555, 58.0, 0.0, 0.0];[-0.3802821851987268, -0.3306663356566393, -2.1546038398140706, -0.07700043917313593, -0.4, -6.459873472664791, -14.0, -14.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -0.4041058260984153];5.1079494000878185;
7;[19.731908557929806, 2265.4001503265727, 114.7182203268861];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 2.0, 51.83337738346298, 0.1745678525281124, 0.46296939076251153, 18440.64571164703, 17255.132822363375, 17332.419960792664, 0.0, 3.0, 0.0, 0.025, 0.09075178082247777, 0.3333333333333333, 0.3333333333333333, 0.04014676765996886, 0.3333333333333333, 0.3333333333333333, 0.041961798295030245, 0.3333333333333333, 0.3333333333333333, 0.029581157892350763, 0.3333333333333333, 0.3333333333333333, 0.041574725793768974, 0.5332763827094744, 0.34574976476018204, 0.049390820342353495, 0.08191228174851317, 0.7734943585243572, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 2.0, 0.0];[2.182190897497657, -1.2278295886755215, 95.81158944048045, 0.5649110947288636, -0.7254321474718877, -10.615972739237002, -12.888582453866487, -9.400333848288074, -0.33333333333333337, -0.33333333333333337, -0.33333333333333337, -0.33333333333333337, -0.12097385253034354, -0.1445933597271296, -0.03264131883610655];48.48836139997002;
8;[20.413749877934798, 1852.1193770338673, 115.35577552989719];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 38.62872079068908, 0.8346592142226512, 0.5, 16193.980616475716, 2172.1052874095058, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.09027975222290557, 0.08499357274334518, 0.0, 0.07262989343193375, 0.8761971485020196, 0.0, 0.05, 0.5, 0.5, 0.0969948622616238, 0.3275677922867902, 0.0, 0.06720164502560926, 0.8615820699785882, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 1.0];[1.4315301868695283, -1.29859111387907, 44.69854195334725, 0.6102790198669203, -0.06534078577734881, -12.233755484908437, -1.0356810180930491, -14.0, -0.9150064272566548, -0.12380285149798043, 0.0, -0.6724322077132098, -0.13841793002141178, 0.0, -0.02135914852075743];27.133964900043793;
9;[34.07190867397756, 1140.3394153277457, 122.47725368050266];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 58.63753106724377, 0.843848917031775, 0.5, 7230.815827150478, 16513.876152020617, 10500.0, 0.0, 3.0, 1.0, 0.039368056111939054, 0.061741891314163466, 0.5928726298090726, 0.0, 0.0483365951526532, 0.2795773228051295, 0.0, 0.05, 0.5, 0.5, 0.034739865066936784, 0.28167422915226636, 0.0, 0.01674966151102304, 0.45336456043286844, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 1.0];[0.46481004358896794, -1.6113302899406337, 154.40374267442996, 1.0294355302801095, -0.05615108296822502, -11.705966666549624, 2.8011346976331843, -14.0, -0.4071273701909274, -0.7204226771948705, 0.0, -0.7183257708477336, -0.5466354395671316, 0.0, 0.12902304372602513];19.097474900074303;
10;[16.660170090099445, 2699.588750401964, 107.64116375121431];True;False;[1.0, 2.54446445088741, 1.418827314784449, 0.0, 0.0, 24.374266872911225, 0.5, 0.5, 6317.295124378729, 10500.0, 10500.0, 1.0, 3.318333979869463, 0.0, 0.025, 0.05215109245201878, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.013036122337427581, 0.0, 0.0, 0.05, 0.5, 0.5, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 0.0];[-0.30325053058189955, -0.5023470119812408, 10.84810814527804, 0.0, -0.4, 2.1791638199566314, -14.0, -14.0, -1.0, 0.0, 0.0, -1.0, 0.0, 0.0, -0.15483402375169242];6.255928100086749;
