eval_id;objectives;is_valid;is_feasible;variables;constraints;evaluation_time;algorithm_time
1;[nan, nan, nan];False;False;[1.0, 10.73082567096501, 1.4883326227971652, 1.0, 2.0, 37.57831458546831, 0.7291991233979794, 0.5650489014925744, 16556.24078782057, 2348.4068448914168, 7268.573281952238, 1.0, 3.357597239545461, 1.0, 0.026786288927503333, 0.07312459610603989, 0.3333333333333333, 0.3333333333333333, 0.022354100656348897, 0.25111329167278496, 0.6620111442500799, 0.03951270793610654, 0.3333333333333333, 0.3333333333333333, 0.045922004208543234, 0.05938075873967308, 0.7712617707299688, 0.013436664311217606, 0.20613144074399425, 0.10335824689347328, 0.07735819505066616, 0.3047875530548452, 0.0, 1.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 0.0];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];69.04342560004443;
2;[24.620215164883014, 1849.790678075337, 117.12556730440804];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 50.02569534066679, 0.47546335467127676, 0.5, 2476.534643156833, 18222.083964392146, 10500.0, 0.0, 3.0, 1.0, 0.01009155466260105, 0.04776525221846271, 0.1413618010820572, 0.0, 0.014281549713554866, 0.08327973738619909, 0.0, 0.05, 0.5, 0.5, 0.045908864371927254, 0.15195732656765437, 0.0, 0.0524955582173272, 0.32896626022656617, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 0.0];[1.7270867773804293, -1.3294568711832835, 49.609739671046995, 0.6030319906629851, -0.42453664532872326, -7.571075253973414, -8.26609205895868, -14.0, -0.8586381989179428, -0.9167202626138009, 0.0, -0.8480426734323456, -0.6710337397734338, 0.0, 0.0015154014689409134];39.29428360005841;
3;[nan, nan, nan];False;False;[1.0, 11.838483586991984, 1.6824476314730852, 0.0, 1.0, 57.762029686259616, 0.7801204227763604, 0.5, 14611.407646553112, 15110.617802382143, 10500.0, 1.0, 2.5264201889691895, 1.0, 0.02934596258934813, 0.08593704464390858, 0.5164485520233, 0.0, 0.09896947606030732, 0.7355232539206858, 0.0, 0.05, 0.5, 0.5, 0.07644435580442843, 0.7326549990749489, 0.0, 0.0814785808338534, 0.7090135940919549, 0.0, 0.05, 0.5, 0.5, 1.0, 1.0, 1.0, 0.03656251873840177, 0.07175396891494691, 7.0, 1.0, 1.0];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];66.18764280003961;
4;[nan, nan, nan];False;False;[1.0, 11.217465544371642, 1.2841311152347146, 1.0, 2.0, 37.29406524023777, 0.6572612154622202, 0.2728257304225189, 15771.61987505923, 1597.0456793805968, 8984.534198911662, 1.0, 4.574064967483123, 1.0, 0.007892977569169762, 0.0538387426059669, 0.07005545050494733, 0.8460049052470711, 0.020394622156852393, 0.5851171020612358, 0.16380709931349458, 0.09288983008708201, 0.3333333333333333, 0.3333333333333333, 0.051026350104788835, 0.3333333333333333, 0.3333333333333333, 0.0431733882944138, 0.011234389118337629, 0.4957614520403616, 0.07484087462995187, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 0.0];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];148.12047189997975;
5;[20.17841118056831, 1890.2115223353355, 115.7838655480133];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 57.51596898096211, 0.13383885888551808, 0.5, 18781.70112615261, 2623.8172931416975, 10500.0, 0.0, 3.0, 0.0, 0.025, 0.017781358341519105, 0.7959597551839619, 0.0, 0.06166998115292197, 0.48984830448058037, 0.0, 0.05, 0.5, 0.5, 0.07452087351588098, 0.15068616249550215, 0.0, 0.013023447227719365, 0.86750324392601, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 1.0];[1.2970029074208371, -1.3308287093072013, 107.03330480039982, 0.6921180259381239, -0.766161141114482, 4.2931195665433215, -12.018835197564318, -14.0, -0.2040402448160381, -0.5101516955194196, 0.0, -0.8493138375044978, -0.13249675607399003, 0.0, -0.010251641312147397];10.56182489998173;
6;[nan, nan, nan];False;False;[0.0, 7.25, 1.4500000000000002, 0.0, 2.0, 51.57139146043151, 0.31122162861572966, 0.2912733539853772, 4258.370106583803, 1153.1215896880801, 17427.78021071563, 0.0, 3.0, 1.0, 0.04989101737631479, 0.020936183837083535, 0.3333333333333333, 0.3333333333333333, 0.07160940139730504, 0.6710033828202789, 0.27492516919951415, 0.02231215785442131, 0.09557967148394453, 0.6035934049783597, 0.07637354798048251, 0.1711589455171625, 0.581451984215104, 0.006018263250463962, 0.4662997390179764, 0.02860891794221132, 0.07113529577880655, 0.43233534866285284, 0.4135518322413779, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 2.0];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];94.01246470003389;
7;[nan, nan, nan];False;False;[0.0, 7.25, 1.4500000000000002, 0.0, 2.0, 18.876099776061114, 0.5950194860488128, 0.7675737525788237, 15996.60994911946, 17793.863985710745, 7319.400815968296, 0.0, 3.0, 1.0, 0.04932356598255734, 0.03587017528766694, 0.3333333333333333, 0.3333333333333333, 0.055590987524923086, 0.3333333333333333, 0.3333333333333333, 0.05184295457219166, 0.3333333333333333, 0.3333333333333333, 0.022904691241172306, 0.3333333333333333, 0.3333333333333333, 0.09702391450995172, 0.6942472160402917, 0.2676240790738982, 0.07651754191342591, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 0.0, 1.0];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];110.68458240001928;
8;[26.82750904448041, 1499.8922563006945, 116.79379508011267];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 1.0, 9.813743113925389, 0.7840569589324489, 0.5, 16038.938196056248, 7281.614158124019, 10500.0, 0.0, 3.0, 1.0, 0.003401604682439341, 0.09105247613128223, 0.959768160676385, 0.0, 0.07703642852693522, 0.4538852859944634, 0.0, 0.05, 0.5, 0.5, 0.008599680776814445, 0.02659103299287413, 0.0, 0.037931069715100234, 0.36700417461499113, 0.0, 0.05, 0.5, 0.5, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 1.0];[1.9263660989234523, -1.2849566897672262, 283.70726066706914, 0.453596305502765, -0.11594304106755116, -13.355957112968968, -9.030725602512732, -14.0, -0.04023183932361496, -0.5461147140055366, 0.0, -0.9734089670071259, -0.6329958253850089, 0.0, -0.014036412325930614];17.439781500026584;
9;[nan, nan, nan];False;False;[1.0, 5.636012247504343, 1.6696532909069894, 1.0, 2.0, 31.814203815933602, 0.36822936074180423, 0.3652687793898063, 2627.038939922788, 17231.036243606344, 17627.379936532383, 1.0, 4.37757035628011, 0.0, 0.025, 0.05573306206126243, 0.3385575138061542, 0.3146694767310616, 0.0008404321261590852, 0.3333333333333333, 0.3333333333333333, 0.028215114503524298, 0.3757193021042592, 0.23622662034155872, 0.06047984846241669, 0.3333333333333333, 0.3333333333333333, 0.03298316323452071, 0.3333333333333333, 0.3333333333333333, 0.08771590762097373, 0.09835007810561491, 0.2920840993102979, 1.0, 1.0, 2.0, 0.016154292628005527, 0.16017363480194735, 34.0, 2.0, 1.0];[nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan, nan];81.80936569999903;
10;[42.156808328847724, 1107.7954029438863, 121.88446385216562];True;False;[0.0, 7.25, 1.4500000000000002, 0.0, 2.0, 7.508455231166902, 0.795575504544557, 0.5182187445498737, 12460.39841459104, 4991.562352007217, 13872.587729362132, 0.0, 3.0, 1.0, 0.041800835737686184, 0.06426791854340623, 0.3333333333333333, 0.3333333333333333, 0.08147166881316892, 0.3333333333333333, 0.3333333333333333, 0.010273577925965983, 0.3333333333333333, 0.3333333333333333, 0.09032187987084582, 0.9297995231215672, 0.021318062522955095, 0.07504460092334858, 0.2666756755901495, 0.3716087284871298, 0.07321829349224773, 0.3333333333333333, 0.3333333333333333, 0.0, 0.0, 0.0, 0.030000000000000002, 0.255, 0.0, 1.0, 2.0];[1.5328913723424336, -1.4623858522905393, 176.67419997533375, 0.5193791930014031, -0.10442449545544297, -13.04183087542275, -13.04183087542275, -13.04183087542275, -0.33333333333333337, -0.33333333333333337, -0.33333333333333337, -0.04888241435547769, -0.36171559592272073, -0.33333333333333337, 0.06942479246398536];77.4765351000242;
